Timestamp,Chain1,Chain2,Chain3,Chain4,Event
0,0,0,0,0,0
13,2,0,0,0,New Chain
19,2,2,0,0,New Chain
25,2,2,0,0,Weird Behaviour
30,2,3,0,0,New Follower
34,2,2,0,0,Lost Follower
37,2,2,2,0,New Chain
41,2,0,2,0,Leader Loss
58,2,0,0,0,Chain Dissolved
60,2,0,0,0,Weird Behaviour
72,2,0,0,0,Weird Behaviour
74,0,0,0,0,Chain Dissolved
77,2,0,0,0,New Chain
88,3,0,0,0,New Follower
98,4,0,0,0,New Follower
121,4,0,0,0,Random Steal c1
128,3,0,0,0,Lost Follower
140,2,0,0,0,Lost Follower
142,0,0,0,0,Chain Dissolved
155,2,0,0,0,New Chain
163,2,2,0,0,New Chain
180,2,2,0,0,0
